id,templateID,sectionNumber,level,title,content
1,1,1,0,Preamble,"PROTOCOL TEMPLATE FOR BEHAVIORAL AND SOCIAL SCIENCE RESEARCH  

This preface contains clarification about the protocol template and its supporting materials.  Remove the preface before finalizing and submitting the protocol for review. 

The term ""protocol"" is defined as a complete written description of, and scientific rationale for, a research activity involving human subjects. The protocol document serves as a free-standing document which clearly directs the conduct of the research.  It is the “recipe” followed by the investigators and study team in performing the research activities.

Thus, ""protocol"" means both the written description of the research activity and the activity itself.

This template is based on the drug/device interventional trial template.  This template maintains much of the content and structure of the earlier template but has been tailored to behavioral and social research. The instructional text and examples tend to focus on traditional notions of clinical trials in which behavioral and social interventions are tested for prevention or treatment of a disease or condition. That said, this template is meant to be applicable to studies including basic behavioral and social science research (bBSSR) in which one or more independent variable(s) are manipulated for the purpose of understanding some health-related aspect of functioning. Efforts were made to include language befitting such bBSSR studies, e.g., the section header “Study Intervention(s)/Experimental Manipulation(s)”, but additional translation of language or concepts may be necessary.

The goal of this template is to assist investigators in writing a comprehensive clinical trial protocol that meets the standards outlined in the International Council for Harmonisation (ICH) Guidance for Industry, E6 Good Clinical Practice: Consolidated Guidance (ICH-E6). These are international standards of good clinical practice that apply to all clinical trials, and their goals are to ensure research integrity and protect human subjects. For more detailed information about how these standards apply to social and behavioral clinical trials, readers are encouraged to access the recent NIH-sponsored Best Practices Training for Social and Behavioral Research, which has tailored Good Clinical Practice to social and behavioral clinical trials (Good Clinical Practice for Social and Behavioral Research). 

The NIH Intramural IRB allows for the submission of various protocol formats.  For investigator-initiated studies, this template should be used. 

If an NIH Investigator is not the author of the study, then an NIH Protocol Addendum is required and should include information found in the NIH Protocol Addendum Template.

This template should also be used for investigator-initiated studies when the external Reviewing IRB does not have a protocol template and/or a Sponsor (if applicable) has given the NIH team discretion to write the protocol. 

The following are considerations for teams that use this protocol template for multi-institutional protocols (protocols where non-exempt human subjects research is taking place at more than one site) that will be reviewed by the NIH IRB, and where the intramural NIH IC will serve as the Coordinating Center and/or Sponsor:

• The protocol is a study-wide document that will be used at the NIH and across all Participating Sites (pSites). 
• It needs to contain all pertinent information about how the protocol will be implemented so that the NIH IRB can review and approve the research – as a whole. • Make it as general as possible so that it can work across sites. 
• Address the NIH-specific differences either by creating an NIH Protocol Addendum or include them in the protocol itself, but do not forget to address how the pSites will handle the equivalent situation. For example, if planning to enroll subjects lacking decision-making capacity, NIH teams need to specify how NIH will handle that, but they should also include a general statement that at the other pSites, these subjects will be consented per local requirements.

• There is no need to go into specific differences for the pSites in the protocol as detailed information about them will go in the pSite Addendum but overlooking them completely in the main protocol can be confusing or inadvertently causes deviations later. 
The NIH Protocol Addendum should be uploaded separately in PROTECT as a WORD document.

Style Guidelines:

12-point font (Times, Times New Roman or Arial) and single line spacing for the protocol document. The decimal system (i.e. 1.0; 1.1; etc.) should be used to subdivide the various sections. Margins should be 1 inch on all sides.  This document is already formatted using headings in the styles.

If a section is not applicable to your protocol, do not delete it; rather indicate that the section is not applicable.

Duplication of information in the protocol document should be avoided. Please reference appropriate sections where the detailed information can be located. For example:

• Early termination rules can be described in the Study Design or Statistical Considerations sections with reference to the other section as appropriate. 
Instruction/explanatory text is indicated by italics and should be deleted prior to finalizing the protocol. This text provides information on the content that should be included in the protocol. 

Example text is included to further aid in protocol writing and should be modified to suit the intervention, behavioral or social manipulation study, design, and conduct of the planned clinical trial, or it may be deleted if it is not relevant. Example text is indicated in [regular font].  Within example text, a need for insertion of specific information is notated by <angle brackets>. 

Version control is important to track protocol development, revisions, and modifications. It is also necessary to ensure that the most recently updated and IRB approved version of a protocol is used by all staff conducting the study. With each revision, the version date located in the header of each page should be updated.

Abbreviated Title: (not to exceed 30 characters)

NIH IRB #: IRB number that is in PROTECT. 

Version Date: (updated with all subsequent modifications)

The date that all editing of the document was completed, or date editing began—be sure it is consistent throughout the protocol document. 

Title: (not to exceed 250 characters)

Title will consist of:

• Clinical trial type (e.g., Phase I, I/II, II, III, etc. or Stage) 
• Interventions to be used, procedure, observation, etc., and disease entity. 
• Do not include the words “patient” or “treatment”.
Principal Investigator:

Note: All Study Team Members (associate investigators, etc.) who are engaged in human subjects research (HSR) at the NIH site(s) should be listed separately in PROTECT.

List the affiliation, address, and contact information to include telephone and email for the PI.

NIH Principal Investigator:

	XXX Branch

XXX Institute

Building 10, Rm XXXX

9000 Rockville Pike

Bethesda, MD 20892

Phone: XXXX

E-mail: XXXX

	
Multi-institutional protocols are protocols in which non-exempt human subjects research is taking place at more than one site.  For multi-institutional protocols in which the intramural NIH IC is the Coordinating Center and/or Sponsor:

Provide name of the Coordinating Center

Provide name of the responsible Data Safety Monitoring Board (DSMB) or Safety Monitoring Committee (SMC) 

If NIH will be the Coordinating Center and a Participating Site (pSite) will NOT be relying on the NIH IRB, identify them in Q. 8 of the Basic Study Information section found in the PROTECT smart form. Do NOT list these sites in the table below.

If NIH will be the Reviewing IRB for a Participating Site (pSite), insert the table below and provide the name of each planned or existing relying site and the pSite Principal Investigator (PI). 

Participating Sites (pSites)

	
List of all pSites and pSite PIs that will be/are relying on the NIH IRB

	
pSite Name:

	pSite PI:"
2,1,2,1,TABLE OF CONTENTS,"TABLE OF CONTENTS	5

STATEMENT OF COMPLIANCE	9

1	PROTOCOL SUMMARY	10

1.1	Synopsis	10

1.2	Schema	10

1.3	Schedule of Activities (SOA)	13

2	INTRODUCTION	15

2.1	Study Rationale	15

2.2	Background	15

2.3	Risk/Benefit Assessment	15

2.3.1	Known Potential Risks	15

2.3.2	Known Potential Benefits	16

2.3.3	Assessment of Potential Risks and Benefits	16

3	OBJECTIVES AND ENDPOINTS	16

4	STUDY DESIGN	18

4.1	Overall Design	18

4.2	Scientific Rationale for Study Design	19

4.3	Justification for Intervention	19

4.4	End-Of-Study Definition	19

5	STUDY POPULATION	20

5.1	Inclusion Criteria	21

5.2	Exclusion Criteria	21

5.3	Inclusion of Vulnerable Participants	22

5.3.1	Participation of NIH Staff or family members of study team members	23

5.4	Inclusion of Pregnant Women, fetuses or neonates	23

5.5	Lifestyle Considerations	24

5.6	Screen Failures	24

5.7	Strategies for Recruitment and Retention	24

5.7.1	Costs	25

5.7.2	Compensation	25

6	STUDY INTERVENTION(S) OR EXPERIMENTAL MANIPULATION(S)	26

6.1	Study Interventions(s) or Experimental Manipulations(s) Administration	26

6.1.1	Study Intervention or Experimental Manipulation Description	26

6.1.2	Administration	26

6.2	Fidelity	27

6.2.1	Interventionist Training and Tracking	27

6.3	Measures to Minimize Bias: Randomization and Blinding	27

6.4	Study Intervention/Experimental Manipulation Adherence	28

6.5	Concomitant Therapy	28

6.5.1	Rescue Therapy	29

7	STUDY INTERVENTION/EXPERIMENTAL MANIPULATION DISCONTINUATION AND PARTICIPANT DISCONTINUATION/WITHDRAWAL	29

7.1	Discontinuation of Study Intervention/Experimental Manipulation	29

7.2	Participant Discontinuation/Withdrawal from the Study	30

7.3	Lost to Follow-up	31

8	STUDY ASSESSMENTS AND PROCEDURES	31

8.1	Screening Procedures	31

8.1.1	Screening activities performed prior to obtaining informed consent	32

8.1.2	Screening activities performed after a consent for screening has been signed	32

8.2	Study Evaluations & Procedures	32

8.2.1	Biospecimen Evaluations	34

8.2.2	Samples for Genetic/Genomic Analysis	35

8.3	Safety Assessments	38

8.4	Adverse Events and Serious Adverse Events	39

8.4.1	Definition of Adverse Event	40

8.4.2	Definition of Serious Adverse Events (SAE)	40

8.4.3	Classification of an Adverse Event	41

8.4.4	Time Period and Frequency for Event Assessment and Follow-Up	43

8.4.5	Adverse Event Reporting	44

8.4.6	Serious Adverse Event Reporting	44

8.4.7	Events of Special Interest	45

8.4.8	Reporting of Pregnancy	45

8.5	Unanticipated Problems	45

8.5.1	Definition of Unanticipated Problems (UP)	46

8.5.2	Unanticipated Problem Reporting	46

9	STATISTICAL CONSIDERATIONS	46

9.1	Statistical Hypothesis	46

9.2	Sample Size Determination	47

9.3	Populations for Analyses	48

9.4	Statistical Analyses	48

9.4.1	General Approach	48

9.4.2	Analysis of the Primary Endpoints	49

9.4.3	Analysis of the Secondary Endpoint(s)	49

9.4.4	Safety Analyses	50

9.4.5	Baseline Descriptive Statistics	50

9.4.6	Planned Interim Analyses	50

9.4.7	Sub-Group Analyses	51

9.4.8	Tabulation of individual Participant Data	51

9.4.9	Exploratory Analyses	51

10	REGULATORY, ETHICAL, AND STUDY OVERSIGHT CONSIDERATIONS	52

10.1	Informed Consent Process	52

10.1.1	Consent/Assent Procedures and Documentation	52

10.1.2	Consent for minors when they reach the age of majority	55

10.1.3	Considerations for Consent of NIH staff, or family members of study team members	56

10.1.1	Consent of Adults who lack, or lose, decision-making capacity to consent to research participation	57

10.2	Study Discontinuation and Closure	57

10.3	Confidentiality and Privacy	58

10.3.1	Measures Taken to Ensure Confidentiality of Data Shared per the NIH Data Sharing Policies	60

10.3.2	Certificate of Confidentiality	60

10.4	Storage, Use, and Sharing of Specimens and Data for Secondary Research	60

10.5	Safety Oversight	61

10.6	Clinical Monitoring	62

10.7	Quality Assurance and Quality Control	63

10.8	Data Handling and Record Keeping	64

10.8.1	Data Collection and Management Responsibilities	65

10.8.2	Study Records Retention	66

10.9	Protocol Deviations and Non-Compliance	66

10.9.1	NIH Definition of Protocol Deviation	67

10.10	Human Data Sharing, including Genomic Data Sharing, and Publication	67

10.10.1	NIH Data Management and Sharing Policy and NIH Genomic Data Sharing Policy Compliance	67

10.10.2	NIH Public Access Policy Compliance	68

10.11	Collaborative Agreements	68

10.11.1	Agreement Type	68

10.12	Conflict of Interest Policy	69

11	ABBREVIATIONS	69

12	REFERENCES	70"
3,1,3,1,STATEMENT OF COMPLIANCE,"Provide a statement that the trial will be conducted in compliance with the protocol, International Council for Harmonisation Good Clinical Practice (ICH GCP) and applicable state, local and federal regulatory requirements. Each engaged institution must have a current Federal-Wide Assurance (FWA) issued by the Office for Human Research Protections (OHRP) and must provide this protocol and the associated informed consent documents and recruitment materials for review and approval by an appropriate Institutional Review Board (IRB) or Ethics Committee (EC) registered with OHRP. Any modifications to the protocol or consent materials must also be approved before implementation. Suggested language: 

The trial will be carried out in accordance with International Council for Harmonisation Good Clinical Practice (ICH GCP) and the following: 

• • United States (US) Code of Federal Regulations (CFR) applicable to clinical studies (45 CFR Part 46, 21 CFR Part 50, 21 CFR Part 56, 21 CFR Part 312, and/or 21 CFR Part 812) 

National Institutes of Health (NIH)-funded investigators and clinical trial site staff who are responsible for the conduct, management, or oversight of NIH-funded clinical trials have completed Human Subjects Protection and ICH GCP Training.

The protocol, informed consent form(s), recruitment materials, and all participant materials will be submitted to the Institutional Review Board (IRB) for review and approval.  Approval of both the protocol and the consent form must be obtained before any participant is enrolled.  Any modification to the protocol will require review and approval by the IRB before the changes are implemented to the study.  In addition, all changes to the consent form will be IRB-approved; an IRB determination will be made regarding whether a new consent needs to be obtained from participants who provided consent, using a previously approved consent form."
4,1,4,1,PROTOCOL SUMMARY,
5,1,5,2,Synopsis,"Title:

	<Full title>

	
Study Description:

	Provide a short description of the protocol, including a brief statement of the study hypothesis. This should be only a few sentences in length. A detailed schematic describing all visits and a schedule of assessments should be included in the Schema and Schedule of Activities, Sections 1.2 and 1.3, respectively. 

	
Objectives:

	Include the primary and secondary objectives. These objectives should be the same as the objectives contained in the body of the protocol.

	
	<Primary Objective:  

	
	Secondary Objectives: >  

	
Endpoints:

	Include the primary endpoint and secondary endpoints. These endpoints should be the same as the endpoints contained in the body of the protocol. 

<Primary Endpoint:

Secondary Endpoints: >

	
Study Population:

	Specify sample size, sex, age, demographic group, general health status, geographic location.

	
Phase or Stage:

	Indicate Phase or Stage, as appropriate. Institutes and Centers may differ in their preferences for categorizing research.

	
Description of Sites/Facilities Enrolling Participants:

	Provide a brief description of planned facilities/participating sites enrolling participants as well as those that will be working with identifiable data/specimens or coded data/specimens and will have access to the code key. Indicate general number (quantity) of sites only and if the study is intended to include sites outside of the United States.  

	
Description of Study Intervention:

	Describe the study intervention (a.k.a, experimental manipulation; hereafter referred to as “study intervention”). Include intervention dose (length and frequency) and how it will be administered. Include method of delivery (e.g., group vs. individual, web-based, etc.).

	
Study Duration:

	Estimated time (in months) from when the study opens to enrollment until completion of data analyses.

	
Participant Duration:

	Time (e.g., in months) it will take for each individual participant to complete all study-related tasks."
6,1,6,2,Schema,"This section should include a diagram that provides a quick “snapshot” of the study and ideally be limited to 1 page. Below are examples of schematics that show the level of detail needed to convey an overview of the study design. Depending on the nature of your study, one example may be more appropriate than another.  Regardless, the examples included here are intended to guide the development of a schematic that is appropriate to the planned study design and will need to be customized for the protocol. Revise with study-specific information and adapt the diagram to illustrate your study design (e.g., changing method of assignment to study group, adding study arms, visits, etc.). The time point(s) indicated in the schematic should correspond to the time point(s) in Section 1.3, Schedule of Activities, e.g., Visit 1, Day 1; Visit 2, Day 14 ± 7; etc. Although the convention is to call contacts with participants “Visit 1, Visit 2, etc.,” participant contacts in which data will be collected remotely without an in-person visit should also be included in this schematic. One alternative is to use the term “Time 1, Time 2, etc.,” to accommodate both in-person visits and assessments conducted remotely. 

Example #1 Flow Diagram (e.g., randomized controlled trial)

Total N: 120

Pre-screen potential participants by inclusion and exclusion criteria; schedule Visit 1.

Pre-Screening

<Time Point,

e.g., Day -30 to 

Day 1>

Conduct informed consent process. Perform baseline assessments.

<list procedures, examinations or imaging or laboratory tests, or physical/cognitive assessments to be performed, questionnaires to be completed OR refer to Section 1.3, Schedule of Activities>

Visit 1

<Time Point,

e.g., Day 1>

Randomize

Visit 2

Administer study intervention Session 1

<Time Point, 

e.g., Day 14 ± 7>

Visit 3

Administer study intervention Session 2 (if applicable)

<Time Point, 

e.g., Day 28 ± 7> 

Administer study intervention Session 3 (if applicable)

Visit 4

<Time Point,

e.g., Day 42 ± 7>

Post-Intervention assessments

Visit 5

<Time Point,

e.g., Day 56 ± 7>

Final Assessments

<list analyses to be performed OR refer to Section 1.3, Schedule of Activities>

Visit 6

<Time Point,

e.g., Day 365 ± 30>

Flow diagram alt text:

• • Pre-Screening <Time Point, e.g., Day -30 to Day 1>: Total N: 120. Pre-screen potential participants by inclusion and exclusion criteria; schedule Visit 1.
• Visit 1 <Time Point, e.g., Day 1>: Conduct informed consent process. Perform baseline assessments.

<list procedures, examinations or imaging or laboratory tests, or physical/cognitive assessments to be performed, questionnaires to be completed OR refer to Section 1.3, Schedule of Activities>.

• • Randomize, which leads to Arm 1; N = 60 and Arm 2; N = 60.
• Visit 2 <Time Point, e.g., Day 14 ± 7>: Administer study intervention Session 1.
• Visit 3 <Time Point, e.g., Day 28 ± 7>: Administer study intervention Session 2 (if applicable).
• Visit 4 <Time Point, e.g., Day 42 ± 7>: Administer study intervention Session 3 (if applicable).
• Visit 5 <Time Point, e.g., Day 56 ± 7: Post-Intervention assessments.
• Visit 6 <Time Point, e.g., Day 365 ± 30>: Final Assessments.

<list analyses to be performed OR refer to Section 1.3, Schedule of Activities>."
7,1,7,2,Schedule of Activities (SOA),"The schedule below is provided as an example and should be modified as appropriate. 

The schedule of activities (SOA) must capture the procedures that will be accomplished at each study visit, and all contact with study participants (e.g., telephone contacts). This includes any screening procedures that are used for eligibility, participant randomization or stratification, or decisions on study intervention discontinuation. Only include procedures that contribute to participant eligibility, study objectives and endpoints. Other procedures should be done sparingly and with consideration, as they may add unnecessary complexity and participant burden. However, for feasibility or other studies that include an aspect of procedural refinement; those activities may be appropriate for inclusion herein and elsewhere in the protocol.

Allowable windows should be stated for all visits. To determine the appropriate windows, consider feasibility and relevance of the visit time points to study endpoints (e.g., short-duration interventions and follow-up periods might require short outcome assessment windows, whereas longer follow-up periods of 6 months or longer might have a window of several weeks). In some cases, the protocol may include an unscheduled visit (e.g., if participants are asked to come to the clinic when they are experiencing specified symptoms). For unscheduled visits, specify all data that would be important to collect. 

Procedures

	Pre-screening

(Pre-consent)

	Visit 1

Day 1

	Visit 2

Day 14 ±7

	Visit  3

 Day 28 ±7

	Visit  4

Day 42 ±7

	Visit  5

Day 56 ±7

	Visit  6

Day  365 ±30

	Unscheduled Visit

	
EMR Review Eligibility

	X

	-

	-

	-

	-

	-

	-

	-

	
Informed Consent

	-

	X

	-

	-

	-

	-

	-

	-

	
Demographics

	-

	X

	-

	-

	-

	-

	-

	-

	
Clinical history

	-

	X

	-

	-

	-

	-

	X

	-

	
Height & Weight

	-

	X

	X

	-

	-

	-

	X

	-

	
Outcome Evaluation

	-

	-

	-

	-

	-

	-

	-

	-

	
Pain Assessment (Brief Pain Inventory)

	-

	X

	-

	-

	X

	-

	X

	X

	
Quality of Life Questionnaire

	-

	X

	X

	X

	X

	X

	X

	-

	
Randomization

	-

	X

	-

	-

	-

	-

	-

	-

	
Control & Experimental Interventions – Occupational therapy

	-

	X

	X

	X

	X

	-

	-

	-

	
Adverse Events Reporting

	-

	X

	X

	X

	X

	X

	X

	X"
8,1,8,1,INTRODUCTION,
9,1,9,2,Study Rationale,"State the problem or question (e.g., describe the population, disease, current standard of care, if one exists, and limitations of knowledge or available therapy), the reason for conducting the clinical trial and the rationale underlying the intervention. State the name and the nature of the intervention, the hypothesized target(s) of the intervention (i.e., the putative cognitive, affective, behavioral, social, community, organizational, etc., target necessary to produce the behavior change relevant to the clinical outcome), and the clinical outcome of interest."
10,1,10,2,Background,"This section should include: 

• A summary of relevant basic and clinical research, including research conducted in other countries 
• Discussion of important literature and data that are relevant to the trial and that provide background for the trial (reference citations should be listed in Section 12, References) 
• Applicable clinical, epidemiological, or public health background or context of the clinical trial
• Importance of the clinical trial and any relevant treatment issues or controversies"
